country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count,source,note
Afghanistan,AFG,Asia,38928341,cases,0,202001,,0,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,0,202002,0,0,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,0,202003,0,0,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,0,202004,0,0,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,0,202005,0,0,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,0,202006,0,0,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,0,202007,0,0,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,0,202008,0,0,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,1,202009,0.002568823,1,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,3,202010,0.01027529,4,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,12,202011,0.038532338,16,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,18,202012,0.077064676,34,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,80,202013,0.251744609,114,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,185,202014,0.680737974,299,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,308,202015,1.266429515,607,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,389,202016,1.790469314,996,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,535,202017,2.373592032,1531,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,1173,202018,4.387548907,2704,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,1698,202019,7.375089527,4402,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,2262,202020,10.17253728,6664,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,3918,202021,15.87532333,10582,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,4623,202022,21.94031336,15205,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,5137,202023,25.07170804,20342,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,4424,202024,24.56051235,24766,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,4067,202025,21.81187223,28833,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,2134,202026,15.9292686,30967,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,1984,202027,10.57841124,32951,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,1500,202028,8.949777747,34451,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,1024,202029,6.483708104,35475,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,788,202030,4.654706452,36263,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,447,202031,3.172495843,36710,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,344,202032,2.031938633,37054,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,542,202033,2.275976775,37596,Epidemic intelligence national data,
Afghanistan,AFG,Asia,38928341,cases,403,202034,2.427537305,37999,Epidemic intelligence national data,
